0,1,2,3,4,5
9111,,,"錶殼及其零件
Watch cases and parts thereof",,
9111.10,,,"貴金屬或被覆貴金屬之金屬製錶殼
Cases of precious metal or of metal clad with
precious metal",,
9111.10.00,,,"貴金屬或被覆貴金屬之金屬製錶殼
Watch cases of precious metal or of metal clad
with precious metal",,
9111.10.00,00,6,"貴金屬或被覆貴金屬之金屬製錶殼
Watch cases of precious metal or of metal clad
with precious metal",,
9111.20,,,"卑金屬製錶殼，不論是否鍍金或鍍銀
Cases of base metal, whether or not gold- or
silver-plated",,
9111.20.00,,,"卑金屬製錶殼，不論是否鍍金或鍍銀
Watch cases of base metal, whether or not gold-
or silver-plated",,
9111.20.00,00,4,"卑金屬製錶殼，不論是否鍍金或鍍銀
Watch cases of base metal, whether or not gold-
or silver-plated",,
9111.80,,,"其他錶殼
Other cases",,
9111.80.00,,,"其他材料製錶殼
Watch cases, of other materials",,
9111.80.00,00,1,"其他材料製錶殼
Watch cases, of other materials",,
9111.90,,,"零件
Parts",,
9111.90.00,,,"錶殼零件
Parts of watch cases",,
9111.90.00,00,9,"錶殼零件
Parts of watch cases",,
9112,,,"鐘外殼及本章其他貨品之類似型式外殼及其零件
Clock cases and cases of a similar type for other
goods of this Chapter, and parts thereof",,
9112.20,,,"外殼
Cases",,
9112.20.00,,,"鐘外殼及本章其他貨品之類似形式外殼
Clock cases and cases of a similar type for other
goods of this Chapter",,
