0,1,2,3,4,5
9109.90.00,,,"鐘運轉體，完整及已裝配，其他方法驅動者
Clock movements, complete and assembled, other
methods driven",,
9109.90.00,00,3,"鐘運轉體，完整及已裝配，其他方法驅動者
Clock movements, complete and assembled, other
methods driven",,
9110,,,"完整錶或鐘運轉體，未裝配或部分裝配者（成組之運轉
體）；不完整錶或鐘運轉體，已裝配者；粗集鐘錶運轉
體
Complete watch or clock movements, unassembled or
partly assembled (movement sets); incomplete
watch or clock movements, assembled; rough watch
or clock movements",,
,,,"－用於錶者︰
-Of watches:",,
9110.11,,,"完整運轉體，未裝配或部分裝配者（成組之運轉體）
Complete movements, unassembled or partly
assembled (movement sets)",,
9110.11.00,,,"完整錶運轉體﹐未裝配或部分裝配者（成組之運轉體）
Complete watch movements, unassembled or partly
assembled (movement sets)",,
9110.11.00,00,6,"完整錶運轉體，未裝配或部分裝配者（成組之運轉體）
Complete watch movements, unassembled or partly
assembled (movement sets)",,
9110.12,,,"不完整運轉體，已裝配者
Incomplete movements, assembled",,
9110.12.00,,,"不完整錶運轉體，已裝配者
Incomplete watch movements, assembled",,
9110.12.00,00,5,"不完整錶運轉體，已裝配者
Incomplete watch movements, assembled",,
9110.19,,,"粗集運轉體
Rough movements",,
9110.19.00,,,"粗集錶運轉體
Rough watch movements",,
9110.19.00,00,8,"粗集錶運轉體
Rough watch movements",,
9110.90,,,"其他
Other",,
9110.90.00,,,"完整鐘運轉體﹐未裝配或部分裝配者（成組之運轉體
）；不完整鐘運轉體﹐已裝配者；粗集鐘運轉體
Complete clock movements, unassembled or partly
assembled (movement sets); incomplete clock
movements, assembled; rough clock movements",,
