0,1,2,3,4,5
9112.90,,,"零件
Parts",,
9112.90.00,,,"鐘殼零件
Parts of clock cases",,
9112.90.00,00,8,"鐘殼零件
Parts of clock cases",,
9113,,,"錶帶、錶箍及錶手鐲帶及其零件
Watch straps, watch bands and watch bracelets,
and parts thereof",,
9113.10,,,"貴金屬或被覆貴金屬之金屬製成者
Of precious metal or of metal clad with precious
metal",,
9113.10.00,,,"錶帶、錶箍及錶手鐲帶及其零件，貴金屬或被覆貴金屬
之金屬製成者
Watch straps, watch bands and watch bracelets,
and parts thereof, of precious metal or of metal
clad with precious metal",,
9113.10.00,00,4,"錶帶、錶箍及錶手鐲帶及其零件，貴金屬或被覆貴金屬
之金屬製成者
Watch straps, watch bands and watch bracelets,
and parts thereof, of precious metal or of metal
clad with precious metal",,
9113.20,,,"卑金屬製者，不論是否鍍金或鍍銀
Of base metal, whether or not gold- or silver-
plated",,
9113.20.00,,,"錶帶、錶箍及錶手鐲帶及其零件，卑金屬製者，不論是
否鍍金或鍍銀
Watch straps, watch bands and watch bracelets,
and parts thereof, of base metal, whether or not
gold- or silver- plated",,
9113.20.00,00,2,"錶帶、錶箍及錶手鐲帶及其零件，卑金屬製者，不論是
否鍍金或鍍銀
Watch straps, watch bands and watch bracelets,
and parts thereof, of base metal, whether or not
gold-or silver-plated",,
9113.90,,,"其他
Other",,
9113.90.10,,,"塑膠製錶帶
Watch straps of plastics",,
9113.90.10,00,5,"塑膠製錶帶
Watch straps of plastics",,
