0,1,2,3,4,5
9104.00.00,00,7,"儀表盤鐘及車輛、飛機、太空船或船舶用類似型式之鐘
Instrument panel clocks and clocks of a similar
type for vehicles, aircraft, spacecraft or
vessels",,
9105,,,"其他鐘
Other clocks",,
,,,"－鬧鐘︰
-Alarm clocks:",,
9105.11,,,"電動者
Electrically operated",,
9105.11.00,,,"鬧鐘，電動者
Alarm clocks, electrically operated",,
9105.11.00,00,3,"鬧鐘，電動者
Alarm clocks, electrically operated",,
9105.19,,,"其他
Other",,
9105.19.00,,,"鬧鐘，其他方法驅動者
Alarm clock, other methods driven",,
9105.19.00,00,5,"鬧鐘，其他方法驅動者
Alarm clock, other methods driven",,
,,,"－壁鐘︰
-Wall clocks:",,
9105.21,,,"電動者
Electrically operated",,
9105.21.00,,,"璧鐘，電動者
Wall clocks, electrically operated",,
9105.21.00,00,1,"壁鐘，電動者
Wall clocks, electrically operated",,
9105.29,,,"其他
Other",,
9105.29.00,,,"壁鐘，其他方法驅動者
Wall clocks, other methods driven",,
9105.29.00,00,3,"壁鐘，其他方法驅動者
Wall clocks, other methods driven",,
,,,"－其他︰
-Other:",,
9105.91,,,"電動者
Electrically operated",,
9105.91.10,,,"航海用精密測時計
Chronometers, nautical",,
