0,1,2,3,4,5
9101.91,,,"電動者
Electrically operated",,
9101.91.00,,,"懷錶及其他錶，包括碼錶在內，電動者
Pocket-watches and other watches, including stop-
watches, electrically operated",,
9101.91.00,00,0,"懷錶及其他錶，包括碼錶在內，電動者
Pocket-watches and other watches, including stop-
watches,electrically operated",,
9101.99,,,"其他
Other",,
9101.99.00,,,"懷錶及其他錶，包括碼錶在內，其他方法驅動者
Pocket-watches and other watches, including stop-
watches, other methods driven",,
9101.99.00,00,2,"懷錶及其他錶，包括碼錶在內，其他方法驅動者
Pocket-watches and other watches, including stop-
watches, other methods driven",,
9102,,,"第９１０１節以外之手錶、懷錶及其他錶，包括碼錶
Wrist-watches, pocket-watches and other watches,
including stop-watches, other than those of
heading 91.01",,
,,,"－手錶，電動者，不論是否配有碼錶裝置︰
-Wrist-watches, electrically operated, whether or
not incorporating a stop-watch facility:",,
9102.11,,,"僅有機械顯時裝置者
With mechanical display only",,
9102.11.00,,,"手錶，電動者，僅有機械顯時裝置者，已列入第
９１０１節者除外
Wrist-watches, electrically operated, with
mechanical display only, other than those of
heading 91.01",,
9102.11.00,00,6,"手錶，電動者，僅有機械顯時裝置者，已列入第
９１０１節者除外
Wrist-watches, electrically operated, with
mechanical display only, other than those of
heading No. 91.01",,
9102.12,,,"僅有光電顯時裝置者
With opto-electronic display only",,
9102.12.00,,,"手錶，電動者，僅有光電顯時裝置者，已列入第
９１０１節者除外
Wrist-watches, electrically operated, with opto-
electronic display only, other than those of
heading 91.01",,
