0,1,2,3,4,5
9105.91.20,,,"天文氣象用精密測時計
Chronometers, astronomical",,
9105.91.20,00,2,"天文氣象用精密測時計
Chronometers, astronomical",,
9105.91.91,,,"其他鐘，電池、蓄電池或交流電源驅動者
Other clocks, driven by battery, accumulator or
A.C. power",,
9105.91.91,00,6,"其他鐘，電池、蓄電池或交流電源驅動者
Other clocks, driven by battery, accumulator or
A.C. power",,
9105.91.99,,,"其他鐘，電動者
Other clocks, electrically operated",,
9105.91.99,00,8,"其他鐘，電動者
Other clocks, electrically operated",,
9105.99,,,"其他
Other",,
9105.99.00,,,"其他鐘，其他方法驅動者
Other clocks, other methods driven",,
9105.99.00,00,8,"其他鐘，其他方法驅動者
Other clocks, other methods driven",,
9106,,,"日時記錄器及附有鐘或錶運轉體或同步馬達之計量、記
錄或指示時間間隔之器具（例如︰時間記錄器、工時記
錄器等）
Time of day recording apparatus and apparatus for
measuring, recording or otherwise indicating
intervals of time, with clock or watch movement
or with synchronous motor (for example, time-
registers, time-recorders)",,
9106.10,,,"時間記錄器；工時記錄器
Time-registers; time-recorders",,
9106.10.00,,,"時間記錄器；工時記錄器
Time-registers; time recorders",,
9106.10.00,00,3,"時間記錄器；工時記錄器
Time-registers; time recorders",,
9106.90,,,"其他
Other",,
9106.90.10,,,"停車計時器
Parking meters",,
9106.90.10,00,4,"停車計時器
Parking meters",,
9106.90.90,,,"其他第９１０６節所屬之貨品
Other articles of heading 91.06",,
