0,1,2,3,4,5
9101,,,"手錶、懷錶及其他錶，包括碼錶在內，其外殼為貴金屬
或被覆貴金屬之金屬製者
Wrist-watches, pocket-watches and other watches,
including stop-watches, with case of precious
metal or of metal clad with precious metal",,
,,,"－手錶，電動者，不論是否配有碼錶裝置︰
-Wrist-watches, electrically operated, whether or
not incorporating a stop-watch facility:",,
9101.11,,,"僅有機械顯時裝置者
With mechanical display only",,
9101.11.00,,,"手錶，電動者，僅有機械顯時裝置者
Wrist-watches, electrically operated, with
mechanical display only",,
9101.11.00,00,7,"手錶，電動者，僅有機械顯時裝置者
Wrist-watches, electrically operated, with
mechanical display only",,
9101.19,,,"其他
Other",,
9101.19.10,,,"手錶，電動者，僅有光電顯時裝置者
Wrist-watches, electrically operated, with opto-
electronic",,
9101.19.10,00,7,"手錶，電動者，僅有光電顯時裝置者
Wrist-watches, electrically operated, with opto-
electronic",,
9101.19.90,,,"其他手錶，電動者
Other wrist-watches, electrically operated",,
9101.19.90,00,0,"其他手錶，電動者
Other wrist-watches, electrically operated",,
,,,"－其他手錶，不論是否配有碼錶裝置︰
-Other wrist-watches, whether or not
incorporating a stop-watch facility:",,
9101.21,,,"自動上發條者
With automatic winding",,
9101.21.00,,,"手錶，自動上發條者
Wrist-watches, with automatic winding",,
9101.21.00,00,5,"手錶，自動上發條者
Wrist-watches, with automatic winding",,
9101.29,,,"其他
Other",,
9101.29.00,,,"手錶，其他方法驅動者
Wrist-watches, other methods driven",,
9101.29.00,00,7,"手錶，其他方法驅動者
Wrist-watches, other methods driven",,
