0,1,2,3,4,5
9107,,,"配有鐘錶運轉體或同步馬達之定時開關
Time switches with clock or watch movement or
with synchronous motor",,
9107.00,,,"配有鐘錶運轉體或同步馬達之定時開關
Time switches with clock or watch movement or
with synchronous motor",,
9107.00.00,,,"配有鐘錶運轉體或同步馬達之定時開關
Time switches with clock or watch movement or
with synchronous motor",,
9107.00.00,00,4,"配有鐘錶運轉體或同步馬達之定時開關
Time switches with clock or watch movement or
with synchronous motor",,
9108,,,"錶運轉體，完整及已裝配者
Watch movements, complete and assembled",,
,,,"－電動者︰
-Electrically operated:",,
9108.11,,,"僅有機械顯時裝置或附有可結合機械顯時裝置者
With mechanical display only or with a device to
which a mechanical display can be incorporated",,
9108.11.10,,,"錶運轉體，整體及已裝配，電池或蓄電池驅動者，僅有
機械顯時裝置或附有可結合機械顯時裝置者
Watch movements, complete and assembled, battery
or accumulator powered, with mechanical display
only or with a device to which a mechanical
display can be incorporated",,
9108.11.10,00,8,"錶運轉體，整體及已裝配，電池或蓄電池驅動者，僅有
機械顯時裝置或附有可結合機械顯時裝置者
Watch movements, complete and assembled, battery
or accumulator powered, with mechanical display
only or with a device to which a mechanical
display can be incorporated",,
9108.11.90,,,"錶運轉體，整體及已裝配，其他電動者，僅有機械顯時
裝置或附有可結合機械顯時裝置者
Watch movements, complete and assembled, operated
by other electrical methods, with mechanical
display only or with a device to which a
mechanical display can be incorporated",,
9108.11.90,00,1,"錶運轉體，整體及已裝配，其他電動者，僅有機械顯時
裝置或附有可結合機械顯時裝置者
Watch movements, complete and assembled, operated
by other electrical methods, with mechanical
display only or with a device to which a
mechanical display can be incorporated",,
