0,1,2,3,4,5
9102.99,,,"其他
Other",,
9102.99.00,,,"懷錶及其他錶，包括碼錶在內，其他方法驅動者，已列
入第９１０１節者除外
Pocket-watches and other watches, including stop-
watches, other methods driven, other than those
of heading 91.01",,
9102.99.00,00,1,"懷錶及其他錶，包括碼錶在內，其他方法驅動者，已列
入第９１０１節者除外
Pocket-watches and other watches, including stop-
watches, other methods driven, other than those
of heading No. 91.01",,
9103,,,"配有錶運轉體之鐘，不包括第９１０４節之鐘
Clocks with watch movements, excluding clocks of
heading 91.04",,
9103.10,,,"電動者
Electrically operated",,
9103.10.00,,,"配有錶運轉體之鐘，電動者
Clocks with watch movements, electrically
operated",,
9103.10.00,00,6,"配有錶運轉體之鐘，電動者
Clocks with watch movements, electrically
operated",,
9103.90,,,"其他
Other",,
9103.90.00,,,"配有錶運轉體之鐘，其他方法驅動者
Clocks with watch movements, other methods driven",,
9103.90.00,00,9,"配有錶運轉體之鐘，其他方法驅動者
Clocks with watch movements, other methods driven",,
9104,,,"儀表盤鐘及車輛、飛機、太空船或船舶用類似型式之鐘
Instrument panel clocks and clocks of a similar
type for vehicles, aircraft, spacecraft or
vessels",,
9104.00,,,"儀表盤鐘及車輛、飛機、太空船或船舶用類似型式之鐘
Instrument panel clocks and clocks of a similar
type for vehicles, aircraft, spacecraft or
vessels",,
