0,1,2,3,4,5
9102.19,,,"其他
Other",,
9102.19.00,,,"其他手錶，電動者，已列入第９１０１節者除外
Other wrist-watches, electrically operated, other
than those of heading 91.01",,
9102.19.00,00,8,"其他手錶，電動者，已列入第９１０１節者除外
Other wrist-watches, electrically operated, other
than those of heading No. 91.01",,
,,,"－其他手錶，不論是否配有碼錶裝置︰
-Other wrist-watches, whether or not
incorporating a stop-watch facility:",,
9102.21,,,"自動上發條者
With automatic winding",,
9102.21.00,,,"手錶，自動上發條者，已列入第９１０１節者除外
Wrist-watches, with automatic winding, other than
those of heading 91.01",,
9102.21.00,00,4,"手錶，自動上發條者，已列入第９１０１節者除外
Wrist-watches, with automatic winding, other than
those of heading No. 91.01",,
9102.29,,,"其他
Other",,
9102.29.00,,,"手錶，其他方法驅動者，已列入第９１０１節者除外
Wrist-watches, other methods driven, other than
those of heading 91.01",,
9102.29.00,00,6,"手錶，其他方法驅動者，已列入第９１０１節者除外
Wrist-watches, other methods driven, other than
those of heading No. 91.01",,
,,,"－其他︰
-Other:",,
9102.91,,,"電動者
Electrically operated",,
9102.91.00,,,"懷錶及其他錶，包括碼錶在內，電動者，已列入第
９１０１節者除外
Pocket-watches and other watches, including stop-
watches, electrically operated, other than those
of heading 91.01",,
